Booking_ID,Hotel_Type,Hotel_Location,Booking_Date,Arrival_Date,Lead_Time_Days,Weekend_Nights,Weekday_Nights,Adults,Children,Babies,Country,Market_Segment,Distribution_Channel,Is_Repeated_Guest,Previous_Cancellations,Previous_Bookings,Room_Type_Reserved,Room_Type_Assigned,Booking_Changes,Deposit_Type,Agent_ID,Company_ID,Days_In_Waiting_List,Customer_Type,Meal_Type,Total_Nights,ADR,Required_Car_Parking_Spaces,Total_Special_Requests,Satisfaction_Score,Reservation_Status,Is_Canceled,Reservation_Status_Date,Estimated_Revenue,Arrival_Year,Arrival_Month,Arrival_Month_Name,Total_Guests,Revenue_per_Night,Booking_Year,Lead_Time_Days_Outlier,Total_Nights_Outlier,ADR_Outlier,Estimated_Revenue_Outlier,Days_In_Waiting_List_Outlier,Satisfaction_Score_Outlier
HTL017250,City Hotel,Barcelona,2024-07-02,2025-05-11,313,0,1,2,0.0,0,FRA,Online TA,TA/TO,1,1,7,A,E,0,Non Refund,92.0,Unknown,0,Contract,HB,1,72.93,0,1,3.32,Canceled,1,2025-05-12,72.93,2025,5,May,2.0,72.93,2024,False,False,False,False,False,False
HTL014846,City Hotel,Lisbon,2024-11-15,2024-11-30,15,2,1,1,0.0,0,IND,Online TA,TA/TO,0,0,0,A,A,0,Non Refund,81.0,Unknown,0,Transient-Party,SC,3,94.42,0,1,3.75,Check-Out,0,2024-11-30,283.25,2024,11,November,1.0,94.41666666666667,2024,False,False,False,False,False,False
HTL008779,City Hotel,Lisbon,2024-01-06,2024-02-15,40,2,3,2,0.0,0,BRA,Corporate,Corporate,1,0,7,E,E,1,No Deposit,137.0,1111.0,0,Transient,FB,5,95.72,0,1,4.71,Check-Out,0,2024-02-16,478.58,2024,2,February,2.0,95.716,2024,False,False,False,False,False,False
HTL020142,Resort Hotel,Maldives,2024-08-07,2025-07-05,332,2,0,2,0.0,0,USA,Online TA,TA/TO,0,0,0,H,H,0,Non Refund,3.0,Unknown,2,Contract,FB,2,247.08,0,0,3.94,Canceled,1,2025-07-06,494.16,2025,7,July,2.0,247.08,2024,False,False,False,False,False,False
HTL019424,Resort Hotel,Goa,2024-12-12,2025-12-08,361,3,3,2,0.0,0,BRA,Offline TA/TO,TA/TO,0,0,0,H,H,3,Non Refund,140.0,Unknown,0,Contract,BB,6,262.2,0,3,4.44,Canceled,1,2025-12-09,1573.22,2025,12,December,2.0,262.2033333333333,2024,False,False,False,True,False,False
HTL006714,City Hotel,Dubai,2025-04-15,2026-01-05,265,1,0,2,0.0,0,NOR,Online TA,TA/TO,0,0,0,B,B,4,No Deposit,82.0,Unknown,30,Group,Undefined,1,71.1,0,2,2.83,Canceled,1,2026-01-06,71.1,2026,1,January,2.0,71.1,2025,False,False,False,False,True,False
HTL010251,City Hotel,London,2025-11-13,2026-07-16,245,3,2,2,0.0,0,NLD,Direct,Direct,0,0,0,C,F,0,Non Refund,163.0,Unknown,0,Transient,BB,5,107.21,1,0,3.46,Canceled,1,2026-07-20,536.07,2026,7,July,2.0,107.21400000000001,2025,False,False,False,False,False,False
HTL017092,Resort Hotel,Bali,2024-12-13,2025-11-29,351,0,6,2,0.0,0,DEU,Direct,Direct,0,0,0,A,H,0,No Deposit,62.0,Unknown,3,Transient,HB,6,108.24,0,1,3.34,Canceled,1,2025-12-04,649.42,2025,11,November,2.0,108.23666666666666,2024,False,False,False,False,True,False
HTL012317,City Hotel,Lisbon,2024-11-13,2025-02-08,87,2,0,2,1.0,0,ARE,Online TA,TA/TO,0,0,0,B,B,1,Refundable,175.0,Unknown,0,Contract,FB,2,97.9,0,3,4.41,Check-Out,0,2025-02-08,195.8,2025,2,February,3.0,97.9,2024,False,False,False,False,False,False
HTL020038,City Hotel,London,2024-03-19,2024-08-17,151,1,1,4,1.0,0,IND,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,36.0,Unknown,7,Contract,BB,2,98.15,0,1,4.14,Canceled,1,2024-08-18,196.3,2024,8,August,5.0,98.15,2024,False,False,False,False,True,False
HTL014433,Resort Hotel,Maldives,2025-09-15,2026-06-20,278,3,2,3,0.0,0,IRL,Online TA,TA/TO,0,0,0,E,E,2,Non Refund,139.0,Unknown,0,Transient,HB,5,193.52,0,0,4.29,Canceled,1,2026-06-23,967.6,2026,6,June,3.0,193.52,2025,False,False,False,False,False,False
HTL012733,Resort Hotel,Maldives,2024-04-01,2024-09-01,153,1,4,2,0.0,0,DNK,Online TA,TA/TO,1,0,11,G,G,1,Non Refund,30.0,Unknown,0,Contract,Undefined,5,216.6,0,1,4.45,Canceled,1,2024-09-01,1083.02,2024,9,September,2.0,216.60399999999998,2024,False,False,False,False,False,False
HTL013303,City Hotel,Dubai,2025-07-03,2026-03-08,248,2,3,2,1.0,0,JPN,Online TA,TA/TO,0,0,0,D,D,0,Non Refund,118.0,Unknown,0,Transient,FB,5,119.0,0,2,3.66,Canceled,1,2026-03-10,594.99,2026,3,March,3.0,118.998,2025,False,False,False,False,False,False
HTL000016,Resort Hotel,Maldives,2024-10-27,2025-05-10,195,0,7,2,1.0,0,Unknown,Direct,Direct,1,0,12,E,E,0,Non Refund,104.0,Unknown,0,Contract,Undefined,7,168.65,1,0,4.12,Canceled,1,2025-05-16,1180.58,2025,5,May,3.0,168.6542857142857,2024,False,False,False,False,False,False
HTL016099,Resort Hotel,Phuket,2024-01-16,2024-07-28,194,3,4,2,2.0,0,NLD,Online TA,TA/TO,0,0,0,D,D,4,Non Refund,51.0,Unknown,1,Transient,Undefined,7,178.47,0,0,3.82,Canceled,1,2024-08-01,1249.29,2024,7,July,4.0,178.47,2024,False,False,False,False,False,False
HTL015922,Resort Hotel,Algarve,2025-02-26,2025-12-10,287,3,5,2,0.0,0,SWE,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,4.0,Unknown,2,Contract,Unknown,8,221.34,0,1,4.04,Check-Out,0,2025-12-10,1770.69,2025,12,December,2.0,221.33625,2025,False,False,False,True,False,False
HTL014537,City Hotel,Dubai,2024-04-24,2024-12-12,232,2,2,2,1.0,0,IND,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,89.0,Unknown,0,Transient-Party,SC,4,177.43,0,3,3.83,Canceled,1,2024-12-16,709.71,2024,12,December,3.0,177.4275,2024,False,False,False,False,False,False
HTL004193,City Hotel,Dubai,2025-11-09,2026-05-05,177,2,0,2,1.0,0,CHE,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,85.0,Unknown,5,Transient,BB,2,107.16,0,2,3.96,Canceled,1,2026-05-07,214.31,2026,5,May,3.0,107.155,2025,False,False,False,False,True,False
HTL000112,City Hotel,Barcelona,2024-03-06,2024-12-19,288,3,0,2,0.0,0,CHE,Groups,Corporate,1,0,2,C,C,1,No Deposit,166.0,1055.0,0,Contract,Undefined,3,109.98,0,2,3.75,Check-Out,0,2024-12-21,329.93,2024,12,December,2.0,109.97666666666667,2024,False,False,False,False,False,False
HTL003488,City Hotel,Dubai,2024-07-31,2024-11-30,122,0,3,2,0.0,0,JPN,Offline TA/TO,TA/TO,1,0,11,H,H,0,Non Refund,4.0,Unknown,0,Transient,BB,3,136.09,0,3,4.54,Canceled,1,2024-12-03,408.28,2024,11,November,2.0,136.09333333333333,2024,False,False,False,False,False,False
HTL016825,City Hotel,Dubai,2025-11-29,2026-02-17,80,0,1,2,0.0,0,ITA,Corporate,Corporate,0,0,0,G,G,0,Non Refund,8.0,1049.0,0,Transient,BB,1,119.68,0,0,4.29,Canceled,1,2026-02-18,119.68,2026,2,February,2.0,119.68,2025,False,False,False,False,False,False
HTL002718,City Hotel,London,2024-12-27,2025-03-19,82,0,3,2,1.0,0,BEL,Direct,Direct,0,0,0,C,C,1,No Deposit,91.0,Unknown,0,Transient-Party,HB,3,118.97,0,1,4.03,Check-Out,0,2025-03-20,356.92,2025,3,March,3.0,118.97333333333334,2024,False,False,False,False,False,False
HTL016745,Resort Hotel,Goa,2025-09-16,2026-01-25,131,1,0,3,2.0,0,POL,Corporate,Corporate,0,0,0,F,F,0,No Deposit,172.0,1082.0,1,Transient-Party,Undefined,1,151.2,0,0,2.97,Check-Out,0,2026-01-25,151.2,2026,1,January,5.0,151.2,2025,False,False,False,False,False,False
HTL023047,City Hotel,Amsterdam,2025-11-13,2026-11-03,355,3,0,2,0.0,1,CHN,Corporate,Corporate,0,0,0,F,F,0,Non Refund,98.0,1028.0,0,Group,BB,3,104.02,0,3,3.61,Canceled,1,2026-11-03,312.07,2026,11,November,3.0,104.02333333333333,2025,False,False,False,False,False,False
HTL001421,City Hotel,Dubai,2025-07-06,2025-12-09,156,1,1,4,1.0,0,ARE,Groups,TA/TO,0,0,0,H,H,0,No Deposit,70.0,1017.0,0,Group,SC,2,156.81,1,1,4.47,Canceled,1,2025-12-09,313.62,2025,12,December,5.0,156.81,2025,False,False,False,False,False,False
HTL022665,Resort Hotel,Phuket,2024-01-03,2024-08-26,236,1,5,1,1.0,0,Unknown,Online TA,TA/TO,0,0,0,H,H,0,Non Refund,77.0,Unknown,0,Contract,Undefined,6,292.48,0,0,3.83,Canceled,1,2024-09-01,1754.9,2024,8,August,2.0,292.48333333333335,2024,False,False,True,True,False,False
HTL014796,Resort Hotel,Bali,2025-05-05,2025-11-08,187,0,6,2,0.0,0,NOR,Online TA,TA/TO,1,0,11,D,D,3,No Deposit,168.0,Unknown,0,Transient-Party,BB,6,148.27,0,0,4.04,Canceled,1,2025-11-09,889.61,2025,11,November,2.0,148.26833333333335,2025,False,False,False,False,False,False
HTL020904,City Hotel,Lisbon,2025-02-23,2025-11-18,268,2,0,2,0.0,0,SAU,Online TA,TA/TO,0,0,0,C,C,2,No Deposit,128.0,Unknown,0,Transient-Party,FB,2,63.3,0,1,3.05,Check-Out,0,2025-11-18,126.6,2025,11,November,2.0,63.3,2025,False,False,False,False,False,False
HTL005109,City Hotel,London,2025-08-24,2026-05-05,254,0,1,1,0.0,0,GBR,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,97.0,Unknown,0,Group,SC,1,153.36,0,0,3.78,No-Show,1,2026-05-05,153.36,2026,5,May,1.0,153.36,2025,False,False,False,False,False,False
HTL006210,City Hotel,Amsterdam,2024-08-05,2024-08-22,17,0,6,1,1.0,0,ARE,Direct,Direct,0,0,0,C,E,0,Non Refund,139.0,Unknown,0,Transient,HB,6,122.75,2,2,3.85,Canceled,1,2024-08-22,736.48,2024,8,August,2.0,122.74666666666667,2024,False,False,False,False,False,False
HTL017995,Resort Hotel,Goa,2024-10-22,2025-01-02,72,1,1,2,0.0,0,FRA,Direct,Direct,0,0,0,D,D,0,No Deposit,51.0,Unknown,0,Contract,Undefined,2,134.14,0,1,3.72,Canceled,1,2025-01-04,268.27,2025,1,January,2.0,134.135,2024,False,False,False,False,False,False
HTL008546,City Hotel,Lisbon,2025-02-06,2025-11-16,283,0,2,2,0.0,0,CAN,Online TA,TA/TO,0,0,0,F,F,1,Non Refund,96.0,Unknown,0,Transient,SC,2,123.8,0,1,3.74,Canceled,1,2025-11-16,247.6,2025,11,November,2.0,123.8,2025,False,False,False,False,False,False
HTL023622,Resort Hotel,Goa,2025-02-11,2025-08-07,177,1,0,3,0.0,0,IRL,Direct,Direct,0,0,0,B,B,0,Non Refund,137.0,Unknown,3,Contract,SC,1,150.62,0,1,4.21,Canceled,1,2025-08-07,150.62,2025,8,August,3.0,150.62,2025,False,False,False,False,True,False
HTL013356,City Hotel,Lisbon,2024-02-20,2024-08-19,181,1,0,3,0.0,0,CAN,Direct,Direct,0,0,0,G,G,1,No Deposit,65.0,Unknown,1,Transient,BB,1,173.97,0,2,4.06,Check-Out,0,2024-08-19,173.97,2024,8,August,3.0,173.97,2024,False,False,False,False,False,False
HTL004962,City Hotel,Barcelona,2025-05-20,2025-08-10,82,0,1,2,0.0,0,NLD,Direct,Direct,0,0,0,C,C,1,No Deposit,110.0,Unknown,0,Transient-Party,FB,1,98.3,2,0,3.63,Canceled,1,2025-08-11,98.3,2025,8,August,2.0,98.3,2025,False,False,False,False,False,False
HTL003656,City Hotel,Lisbon,2024-08-31,2025-05-01,243,3,0,2,0.0,0,NOR,Corporate,Corporate,1,0,4,H,H,0,Non Refund,172.0,1050.0,0,Transient-Party,Undefined,3,131.53,0,1,3.82,Canceled,1,2025-05-01,394.59,2025,5,May,2.0,131.53,2024,False,False,False,False,False,False
HTL023301,City Hotel,Lisbon,2025-04-02,2026-03-18,350,3,3,3,0.0,0,PRT,Online TA,TA/TO,0,0,0,E,E,1,Non Refund,133.0,Unknown,5,Group,FB,6,111.89,0,1,3.21,Canceled,1,2026-03-24,671.31,2026,3,March,3.0,111.88499999999999,2025,False,False,False,False,True,False
HTL010868,Resort Hotel,Maldives,2024-10-31,2024-12-28,58,3,5,2,0.0,0,POL,Direct,Direct,0,0,0,H,H,0,Non Refund,144.0,Unknown,0,Transient,SC,8,289.49,1,0,4.08,No-Show,1,2024-12-31,2315.9,2024,12,December,2.0,289.4875,2024,False,False,True,True,False,False
HTL013250,City Hotel,Amsterdam,2025-10-08,2025-12-09,62,0,1,3,2.0,0,DNK,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,111.0,Unknown,0,Group,HB,1,116.16,0,0,3.43,Check-Out,0,2025-12-09,116.16,2025,12,December,5.0,116.16,2025,False,False,False,False,False,False
HTL024930,Resort Hotel,Phuket,2024-10-31,2025-07-03,245,2,3,2,0.0,0,USA,Offline TA/TO,TA/TO,0,0,0,F,F,0,No Deposit,174.0,Unknown,0,Transient-Party,FB,5,244.11,0,2,3.95,Canceled,1,2025-07-03,1220.54,2025,7,July,2.0,244.108,2024,False,False,False,False,False,False
HTL007480,Resort Hotel,Phuket,2024-10-02,2024-10-10,8,3,2,3,1.0,0,BRA,Corporate,Corporate,0,0,0,C,C,2,No Deposit,71.0,1096.0,0,Contract,SC,5,137.31,0,0,3.52,Check-Out,0,2024-10-15,686.56,2024,10,October,4.0,137.31199999999998,2024,False,False,False,False,False,False
HTL022647,Resort Hotel,Maldives,2025-06-30,2025-08-23,54,1,4,2,0.0,0,CHN,Direct,Direct,0,0,0,E,E,1,No Deposit,37.0,Unknown,0,Contract,HB,5,187.73,0,2,4.18,Canceled,1,2025-08-27,938.64,2025,8,August,2.0,187.728,2025,False,False,False,False,False,False
HTL012210,Resort Hotel,Bali,2024-04-30,2024-12-06,220,1,7,4,0.0,1,JPN,Direct,Direct,0,0,0,G,G,0,Non Refund,77.0,Unknown,0,Transient,HB,8,230.88,0,0,3.88,Check-Out,0,2024-12-12,1847.03,2024,12,December,5.0,230.87875,2024,False,False,False,True,False,False
HTL015246,City Hotel,Lisbon,2025-10-08,2026-01-02,86,0,1,2,0.0,0,BEL,Online TA,TA/TO,0,0,0,G,G,1,Refundable,89.0,Unknown,1,Group,SC,1,142.03,0,2,3.67,Canceled,1,2026-01-03,142.03,2026,1,January,2.0,142.03,2025,False,False,False,False,False,False
HTL019546,Resort Hotel,Algarve,2025-03-06,2026-03-06,365,0,5,2,0.0,0,CHN,Direct,Direct,0,0,0,G,G,0,No Deposit,74.0,Unknown,0,Transient,SC,5,202.16,1,0,4.05,Canceled,1,2026-03-09,1010.78,2026,3,March,2.0,202.156,2025,False,False,False,False,False,False
HTL022817,City Hotel,London,2025-07-13,2025-08-02,20,0,6,2,0.0,1,ARE,Online TA,TA/TO,1,0,9,E,E,0,No Deposit,119.0,Unknown,0,Group,SC,6,160.99,0,1,4.24,Canceled,1,2025-08-07,965.95,2025,8,August,3.0,160.99166666666667,2025,False,False,False,False,False,False
HTL016822,City Hotel,Dubai,2025-02-23,2026-02-08,350,1,4,2,0.0,0,Unknown,Direct,Direct,0,0,0,C,B,0,Non Refund,126.0,Unknown,0,Transient-Party,Undefined,5,87.93,0,2,3.27,Canceled,1,2026-02-10,439.63,2026,2,February,2.0,87.926,2025,False,False,False,False,False,False
HTL013031,City Hotel,Lisbon,2024-08-29,2025-06-18,293,3,1,3,2.0,0,BEL,Offline TA/TO,TA/TO,0,0,0,D,D,0,Non Refund,158.0,Unknown,1,Transient,BB,4,118.96,0,2,4.38,Canceled,1,2025-06-22,475.84,2025,6,June,5.0,118.96,2024,False,False,False,False,False,False
HTL024495,City Hotel,Dubai,2024-03-03,2024-04-02,30,0,1,2,1.0,0,GBR,Offline TA/TO,TA/TO,0,0,0,C,A,1,Non Refund,16.0,Unknown,0,Transient,HB,1,85.88,0,1,4.24,Canceled,1,2024-04-02,85.88,2024,4,April,3.0,85.88,2024,False,False,False,False,False,False
HTL010701,City Hotel,Barcelona,2024-08-10,2024-12-16,128,1,5,2,0.0,0,USA,Online TA,TA/TO,0,0,0,E,E,0,Non Refund,133.0,Unknown,0,Group,FB,6,122.68,0,2,4.32,Canceled,1,2024-12-17,736.1,2024,12,December,2.0,122.68333333333334,2024,False,False,False,False,False,False
HTL007178,Resort Hotel,Maldives,2024-11-15,2025-03-24,129,0,7,2,0.0,0,JPN,Online TA,TA/TO,0,0,0,B,B,2,Non Refund,162.0,Unknown,0,Transient-Party,FB,7,120.81,0,0,3.73,Canceled,1,2025-03-25,845.64,2025,3,March,2.0,120.80571428571429,2024,False,False,False,False,False,False
HTL011381,Resort Hotel,Maldives,2025-04-27,2025-05-14,17,0,3,2,0.0,0,PRT,Online TA,TA/TO,0,0,0,C,C,3,No Deposit,69.0,Unknown,0,Group,Undefined,3,131.85,0,1,3.85,Check-Out,0,2025-05-14,395.56,2025,5,May,2.0,131.85333333333332,2025,False,False,False,False,False,False
HTL012103,Resort Hotel,Goa,2024-11-24,2025-09-05,285,0,5,2,0.0,0,NLD,Offline TA/TO,TA/TO,0,0,0,F,F,1,Non Refund,46.0,Unknown,1,Transient-Party,Undefined,5,224.36,0,2,3.45,Canceled,1,2025-09-05,1121.78,2025,9,September,2.0,224.356,2024,False,False,False,False,False,False
HTL011237,City Hotel,London,2025-05-21,2025-12-14,207,1,0,3,0.0,0,AUS,Corporate,Corporate,0,0,0,E,E,0,Non Refund,145.0,1060.0,0,Group,Undefined,1,151.38,0,1,3.83,Canceled,1,2025-12-14,151.38,2025,12,December,3.0,151.38,2025,False,False,False,False,False,False
HTL000973,City Hotel,Lisbon,2025-12-20,2026-03-05,75,0,5,2,0.0,0,NLD,Direct,Direct,0,0,0,A,E,0,Refundable,97.0,Unknown,10,Contract,SC,5,49.78,1,1,3.01,Check-Out,0,2026-03-09,248.89,2026,3,March,2.0,49.778,2025,False,False,False,False,True,False
HTL015449,Resort Hotel,Maldives,2025-11-21,2026-01-05,45,0,6,2,0.0,0,PRT,Offline TA/TO,TA/TO,0,0,0,G,G,0,No Deposit,58.0,Unknown,0,Transient,Undefined,6,197.7,0,1,3.8,Check-Out,0,2026-01-11,1186.23,2026,1,January,2.0,197.705,2025,False,False,False,False,False,False
HTL017381,Resort Hotel,Bali,2024-01-07,2024-01-20,13,0,4,2,0.0,0,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,23.0,Unknown,2,Group,HB,4,103.58,0,0,3.56,Check-Out,0,2024-01-20,414.31,2024,1,January,2.0,103.5775,2024,False,False,False,False,False,False
HTL008103,City Hotel,Dubai,2025-08-30,2025-12-10,102,1,0,2,1.0,0,AUS,Online TA,TA/TO,0,0,0,E,E,3,No Deposit,20.0,Unknown,3,Contract,FB,1,161.35,0,1,3.73,Check-Out,0,2025-12-11,161.35,2025,12,December,3.0,161.35,2025,False,False,False,False,True,False
HTL012682,City Hotel,Dubai,2025-12-10,2026-09-23,287,0,4,1,0.0,0,ESP,Online TA,TA/TO,1,0,8,E,E,3,No Deposit,177.0,Unknown,0,Transient,HB,4,150.94,0,1,3.65,Check-Out,0,2026-09-24,603.76,2026,9,September,1.0,150.94,2025,False,False,False,False,False,False
HTL002204,Resort Hotel,Algarve,2025-09-01,2025-10-13,42,0,1,3,0.0,0,USA,Offline TA/TO,TA/TO,0,0,0,F,F,0,Refundable,57.0,Unknown,0,Contract,FB,1,186.25,0,0,3.65,Check-Out,0,2025-10-13,186.25,2025,10,October,3.0,186.25,2025,False,False,False,False,False,False
HTL008373,City Hotel,London,2024-01-11,2024-10-01,264,3,3,2,0.0,0,ESP,Online TA,TA/TO,0,0,0,B,B,0,Non Refund,152.0,Unknown,0,Transient,Undefined,6,96.8,0,2,3.83,Canceled,1,2024-10-05,580.78,2024,10,October,2.0,96.79666666666667,2024,False,False,False,False,False,False
HTL016576,Resort Hotel,Goa,2025-04-18,2025-12-05,231,2,2,2,0.0,0,POL,Direct,Direct,0,0,0,B,B,2,Non Refund,158.0,Unknown,2,Contract,HB,4,168.11,0,3,4.06,Canceled,1,2025-12-08,672.43,2025,12,December,2.0,168.1075,2025,False,False,False,False,False,False
HTL000317,Resort Hotel,Algarve,2025-07-10,2025-12-25,168,2,2,2,0.0,0,USA,Online TA,TA/TO,1,0,11,B,B,1,Non Refund,114.0,Unknown,0,Transient,SC,4,173.01,0,1,3.84,Canceled,1,2025-12-26,692.02,2025,12,December,2.0,173.005,2025,False,False,False,False,False,False
HTL007376,City Hotel,London,2024-07-20,2024-10-31,103,1,1,4,0.0,0,CHE,Online TA,TA/TO,0,0,0,C,H,0,No Deposit,154.0,Unknown,0,Transient,Undefined,2,79.04,2,3,3.86,Check-Out,0,2024-11-02,158.08,2024,10,October,4.0,79.04,2024,False,False,False,False,False,False
HTL022344,City Hotel,Amsterdam,2025-01-25,2025-07-19,175,0,2,1,0.0,0,SWE,Online TA,TA/TO,0,0,0,A,A,1,Non Refund,140.0,Unknown,0,Group,HB,2,94.64,0,1,3.44,Canceled,1,2025-07-20,189.27,2025,7,July,1.0,94.635,2025,False,False,False,False,False,False
HTL022613,City Hotel,Dubai,2025-12-27,2026-07-23,208,1,1,3,0.0,1,CAN,Online TA,TA/TO,1,0,7,G,G,1,Non Refund,10.0,Unknown,0,Transient-Party,FB,2,185.44,0,3,3.73,Canceled,1,2026-07-23,370.87,2026,7,July,4.0,185.435,2025,False,False,False,False,False,False
HTL017084,City Hotel,Amsterdam,2024-08-07,2025-03-03,208,0,1,3,1.0,0,CHN,Online TA,TA/TO,0,0,0,G,G,0,Non Refund,104.0,Unknown,0,Group,FB,1,106.45,0,0,3.64,Canceled,1,2025-03-04,106.45,2025,3,March,4.0,106.45,2024,False,False,False,False,False,False
HTL009227,City Hotel,Dubai,2025-05-02,2026-04-03,336,2,2,2,2.0,0,NLD,Offline TA/TO,TA/TO,0,0,0,G,G,0,Non Refund,66.0,Unknown,14,Transient,BB,4,168.07,0,0,3.78,Canceled,1,2026-04-05,672.28,2026,4,April,4.0,168.07,2025,False,False,False,False,True,False
HTL008560,City Hotel,London,2025-05-30,2025-06-02,3,0,1,2,0.0,0,SWE,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,4.0,Unknown,1,Transient-Party,BB,1,143.18,0,1,3.29,Check-Out,0,2025-06-03,143.18,2025,6,June,2.0,143.18,2025,False,False,False,False,False,False
HTL013980,Resort Hotel,Maldives,2025-11-12,2026-07-14,244,3,2,2,0.0,0,SAU,Online TA,TA/TO,0,0,0,A,A,0,Non Refund,35.0,Unknown,0,Transient-Party,HB,5,143.68,0,0,4.04,Canceled,1,2026-07-18,718.39,2026,7,July,2.0,143.678,2025,False,False,False,False,False,False
HTL015277,Resort Hotel,Bali,2024-10-27,2024-11-29,33,2,3,2,0.0,0,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,52.0,Unknown,1,Transient,Undefined,5,148.12,0,0,3.23,Check-Out,0,2024-12-04,740.61,2024,11,November,2.0,148.122,2024,False,False,False,False,False,False
